Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Î£ Original Estimate,Î£ Remaining Estimate,Î£ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Account),Custom field (Business Value),Custom field (Cost Code),Custom field (Epic Colour),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Firmstep Status),Custom field (Firmstep Ticket Number),Custom field (Firmstep Ticket URL),Custom field (Flagged),Custom field (Internal Client:),Custom field (Marval Reference:),Custom field (Mendix modeler version),Custom field (Mendix module),Custom field (Product),Custom field (Rank),Custom field (Requester Name),Custom field (Savings),Custom field (Service Catalogue Description),Custom field (Service Catalogue Name),Custom field (Services),Custom field (Sharepoint URL),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (Ticket Raised),Custom field (url)
Test / Production ClearCore Mismatch,IDB-130,33728,,Impediment,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,garyduckworth,garyduckworth,garyduckworth,2018-05-24,2018-05-31,2018-07-27,2018-05-31,,,,0,,,,IPaaS needs to be able to get the TEST data from the POLLED FOR CHANGE reports (UpdatesBV and UpdatesXREF) that can linked to data within TEST CCR,,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|i03nlc:i,,,,,,,2. Improve CCR Process,,,,0,,
Rebuild Test ClearCore Environment,IDB-129,33727,,Impediment,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,garyduckworth,garyduckworth,garyduckworth,2018-05-24,2018-06-04,2018-07-27,2018-05-31,,,,0,,,,"The current ClearCore environment on WAP-CC-DEV uses a variety of TEST and LIVE data feeds. The ClearCore environments need to be setup to have TEST data from TEST systems in WAP-CC-DEV andÂ have LIVE data from LIVE systems in WAP-CC-LIVE

Â 

[Split into Subtasks][Split into Subtasks]",,garyduckworth,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,Impediment,,,,,,0|i03nlc:r,,,,,,,2. Improve CCR Process,,,,0,,
Code Cleanup,IDB-127,33725,,Improvement,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-05-24,2018-06-07,2018-07-27,2018-06-07,,,,0,,,,"# Clean up code to remove overhanging process testing and sub process testing.
 # Ensure the process and sub-process meet the naming convention.
 # Update Confluence with the changes where necessary and appropriate.Â ",,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nla:,,,,,,,2. Improve CCR Process,,,,3,,
Integration Connection Test,IDB-125,33723,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-24,2018-06-07,2018-07-27,2018-06-07,,,,0,,,,"Ensuring the process can connect and interact with CCR, CC best view and Xref.

In a manner that is as similar as possible to the live environment.Â 

Â 

estimated 2-8

Â 

Â ",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:f,,,,,,,2. Improve CCR Process,,,,8,,
ClearCore Output Process Change,IDB-123,33703,,New Feature,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,samwhite,garyduckworth,garyduckworth,2018-05-22,2018-06-05,2018-07-27,2018-06-05,,Clients of Concern,,0,,,,The Data Solutions team need to ensure that the ClearCore processing that is run overnight is changed to ensure that for each environment (DEV/LIVE) the files are output onto either the Boomi server (DEV) or the NAS box (LIVE).,,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:,,,,,,,2. Improve CCR Process,,,,0.5,,
ClearCore Output File Location - DEV,IDB-122,33702,,New Feature,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,garyduckworth,garyduckworth,2018-05-22,2018-05-31,2018-07-27,2018-05-31,,,,0,,,,"There is an issue with the current DFS structure in that Boomi does not recognise certain file paths. As such we need to ensure that the output files from ClearCore, and other undefined systems, that are consumed by Boomi are placed in an appropiate location.

The current recommendation is to setup a filestore on each of the Dell Boomi servers.
 * The DEV environment will need an individual files store setup on the server.",,garyduckworth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-126,,,,,,,,,,,,0|i03nlc:hzi,,,,,,,2. Improve CCR Process,,,,2,,
Error Cases,IDB-121,33701,,New Feature,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,garyduckworth,garyduckworth,2018-05-22,2018-06-26,2018-07-27,2018-06-07,Software Development Life Cycle - V1.1,Clients of Concern,,0,security,,,"* Business driven exceptions for scenariosÂ 
 * Error Logging log points - For example, all 'inserts' into the CCR database need a verification process - maybe using try/catch and associated error logging. Once inserted were the correct number inserted and if not what happened to the non-inserts.....
 * Trapping error records",,garyduckworth,olivercurson,richardbeech,,,,,,,,,,,,,,,,,,,,,,,,29/May/18 11:08 AM;richardbeech;Logging process design.docx;http://wap-jira:8080/secure/attachment/12901/Logging+process+design.docx,,,,,,,,,,,,,,,,,0|i03nlb:r,,,,,,,2. Improve CCR Process,,,,8,,
Validation: Feed CCR Address changes into ClearCore,IDB-119,33670,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,christineproe,kieranrichards,kieranrichards,2018-05-18,2018-06-25,2018-07-27,2018-06-25,[PR001] CCR Update Address - V1.0,,,0,CCR,,,,,kieranrichards,RichardAClarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:ew,,,,,,,1. CCR Address Update,2. Improve CCR Process,3. Get clear on ClearCore,,1,,
Match the expected address with the actual address changes in the DELTA,IDB-118,33669,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-18,2018-06-26,2018-07-27,2018-06-22,[PR001] CCR Update Address - V1.0,,,0,CCR,,,"# Follow a changed client through the process and verify.
 # Follow an unchanged client through the process and verify.",,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:9w,,,,,,,1. CCR Address Update,2. Improve CCR Process,3. Get clear on ClearCore,,0.5,,
Keep a history of address changes in CCR,IDB-117,33668,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,kieranrichards,kieranrichards,2018-05-18,2018-05-23,2018-07-27,2018-05-23,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol8:zw,,,,,,,1. CCR Address Update,,,,0,,
Call the CCR 'update address' stored procedure,IDB-116,33667,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,kieranrichards,kieranrichards,2018-05-18,2018-05-23,2018-07-27,2018-05-23,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol8:zr,,,,,,,1. CCR Address Update,,,,1,,
Test and refine the Boomi Process,IDB-115,33666,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,kieranrichards,kieranrichards,2018-05-18,2018-06-26,2018-07-27,2018-06-07,[PR001] CCR Update Address - V1.0,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-112,,,,,,,,,,,,0|i03nlc:9,,,,,,,1. CCR Address Update,2. Improve CCR Process,,,13,,
Build the Boomi Process.,IDB-114,33665,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-18,2018-05-23,2018-07-27,2018-05-23,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-112,,,,,,,,,,,,0|i03ol8:z,,,,,,,1. CCR Address Update,,,,8,,
Breakdown and plan for Boomi process.,IDB-113,33664,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-18,2018-05-21,2018-07-27,2018-05-21,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IDB-112,,,,,,,,,,,,0|i03ol8:y,,,,,,,1. CCR Address Update,,,,5,,
Formalise address format in CCR database - UPRN etc. Add UPRN's to CCR address database match and insert.,IDB-111,33662,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,jonelsom,kieranrichards,kieranrichards,2018-05-18,2018-05-18,2018-07-27,2018-05-18,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol8:r,,,,,,,1. CCR Address Update,,,,5,,
Analyse exsititing CCR client address quality in TEST. Match address with UPRN to LLPG.,IDB-110,33661,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,jonelsom,kieranrichards,kieranrichards,2018-05-18,2018-05-18,2018-07-27,2018-05-18,,,,0,CCR,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol8:i,,,,,,,1. CCR Address Update,,,,5,,
Create test data.,IDB-106,33657,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,olivercurson,kieranrichards,kieranrichards,2018-05-18,2018-05-23,2018-07-27,2018-05-23,,,,0,ClearCore,,,,,kieranrichards,,,,,;22/May/18 9:54 AM;samwhite;14400,,0,14400,,,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol3:,,,,,,,1. CCR Address Update,,,,8,,
Gather and collate baseline metrics,IDB-105,33656,,New Feature,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-18,2018-06-26,2018-07-27,2018-06-19,Software Development Life Cycle - V1.1,,,0,Background,,,"# Refine baseline metrics.
 # Reliable method for logging.
 # Simple process method for document and process metrics.
 # Basic presentation on results.",,kieranrichards,richardbeech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03nlc:er,,,,,,,1. CCR Address Update,2. Improve CCR Process,3. Get clear on ClearCore,,8,,
Understand ClearCore 'Poll for change' report.,IDB-104,33655,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,richardbeech,kieranrichards,kieranrichards,2018-05-18,2018-05-21,2018-07-27,2018-05-21,,,,0,ClearCore,,,,,kieranrichards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol1:w,,,,,,,1. CCR Address Update,,,,2,,
Pickup changes from ClearCore - consume ClearCore CSV or SQL.,IDB-103,33654,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,kieranrichards,kieranrichards,2018-05-18,2018-05-22,2018-07-27,2018-05-22,,,,0,ClearCore,,,,,kieranrichards,,,,,;22/May/18 9:52 AM;samwhite;3600,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol1:r,,,,,,,1. CCR Address Update,,,,2,,
Understand business processes for CCR,IDB-102,33653,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,,samwhite,samwhite,2018-05-17,2018-05-23,2018-07-27,2018-05-23,,,,0,Background,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol1:i,,,,,,,1. CCR Address Update,,,,2,,
"Architectural understanding of systems (ClearCore, CCR & Mendix)",IDB-101,33648,,Task,Done,IDB,iPaaS [Dell Boomi],software,samwhite,iPaaS [Dell Boomi] Project,,Medium,Done,kieranrichards,samwhite,samwhite,2018-05-17,2018-05-21,2018-07-27,2018-05-21,,,,0,Background,,,,,samwhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i03ol1:,,,,,,,1. CCR Address Update,,,,2,,
